WTI Crude Oil,EquityBond premia,EM Economic Activity Surprise,Citi US Inflation Surprise Index,Conference Board Consumer Confidence,IWM
-1.208298256346615,-2.9018669163358752,-0.15200542577783183,0.30373307382996845,-3.494426056614269,-1.0393509456838272
-1.2604142307120512,-2.8276902858879196,-0.15200542577783183,1.277221417936398,1.9919133321002827,-1.0364807152432514
-1.2164656851650788,-2.8218574928661977,-0.15200542577783183,1.277221417936398,1.9919133321002827,-1.0184767666067993
-1.2079093311647833,-2.8385310325141497,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.976207196740494
-1.2335783931656699,-2.8065390465465248,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9793380550496836
-1.2316337672565116,-2.7925756935551305,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9709882337339479
-1.2238552636198794,-2.8229769177895583,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9699447316974923
-1.2304669917110167,-2.8002938338161965,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9720324841950264
-1.2141321340740892,-2.79375403557972,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9568982376994165
-1.1542376560720207,-2.7469738572034874,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9828605595614388
-1.1223457911618282,-2.8096027358104596,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9720324841950264
-1.1110669608887116,-2.7663575835079968,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.976207196740494
-1.1071777090703954,-2.7823830350424243,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9751632764667492
-1.1312910703439556,-2.704553544318239,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9798601912864673
-1.1561822819811787,-2.7707763661002103,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9584639640226115
-1.1032884572520794,-2.7674180913301285,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.952723459116482
-1.0737301434328765,-2.827513534584231,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9480447486250869
-1.0422272037045162,-2.7833257086620966,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9746749734254098
-1.0410604281590212,-2.8170262905653773,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9804185820924746
-1.1585158330721685,-2.788097993861687,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9699751089321786
-1.141792050253409,-2.7708352832014396,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9835513775006876
-1.148014853162715,-2.7871553202420154,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9621431534303795
-1.1161229882525225,-2.723230265407994,-0.15200542577783183,1.277221417936398,1.9919133321002827,-0.9757188276616879
-1.124679342252818,-2.685228735114959,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9674952039448342
-1.124679342252818,-2.6649023351907775,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9553550081398806
-1.1958526505280032,-2.62595813127807,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.965275354501392
-1.222299562892553,-2.6882924243788935,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9550942041713556
-1.2110207326194362,-2.6936538805907793,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9496115755727271
-1.2339673183475013,-2.708972326910452,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9438676147058398
-1.2335783931656699,-2.7251745297485686,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9449123934666519
-1.2094650318921096,-2.760348039182587,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.927159233116274
-1.1647386359814742,-2.717868809196108,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9242870875891636
-1.1674611122542955,-2.7899833411010317,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.923504147383855
-1.1896298476186975,-2.820089979829312,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.920370867700886
-1.1464591524353884,-2.793577284276032,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9360358132914629
-1.1666832618906322,-2.7844451335854576,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9516999224074615
-1.1857405958003813,-2.713803529211272,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9370797335652079
-1.2779158638944739,-2.690766942630533,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.961620753043729
-1.3047517014408552,-2.689470766403484,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9742827548981328
-1.3055295518045182,-2.700900684042009,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9725861863408973
-1.3070852525318448,-2.671736718933401,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9741525070012925
-1.2989178237133807,-2.6646666667858594,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-0.9976491879687797
-1.292695020804075,-2.638389639637497,-0.15200542577783183,0.21487396335048622,1.7837441203783742,-1.0122692007111223
-1.321864409441446,-2.645518608886267,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9913837732522648
-1.307863102895508,-2.62831481532725,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9968657414762263
-1.2891946941675902,-2.6246030379497913,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9955604008842671
-1.2740266120761574,-2.613703374222331,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9960826251710064
-1.2234663384380478,-2.598974098914953,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9919057333891373
-1.264303482530367,-2.6565361068161866,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.976371608020112
-1.2561360537119035,-2.6404517381805297,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9804185820924746
-1.208298256346615,-2.6241906182411845,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9865534187248156
-1.1697946633452851,-2.5153707322702754,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9913837732522648
-1.182240269163897,-2.548364308958802,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.976762924035344
-1.1464591524353884,-2.565450268315361,-0.15200542577783183,0.49503485307879,1.9270737415639503,-0.9678861677602437
