MSCI EM Vol,Oil Vol,JPM G7 FX Vol,US ISM Service PMI,Conference Board Consumer Confidence,GTGBP3MO Corp,GDP Libor,China Economic Activity Surprise,US Recession Probability in 1 year,Citi US Inflation Surprise Index,Global Economic Policy Uncertainty,US Trade Policy Uncertainty,US Monetary Policy Uncertainty,US Economic Policy Uncertainty,EU Economic Policy Uncertainty,China Economic Policy Uncertainty
-0.7416266872671237,1.9053111051340674,1.209645995977116,1.2821405950024292,-0.46387001321693977,6143660.155546741,1.7731545435126883,-0.31095903076860887,-13.779356131905773,0.520027811788071,-2.095409821578866,1.6521852278052789,-0.4556128962515014,0.07087007131586909,0.6059996188680719,0.8388319748614753
-8.851021736536021e-13,-9.057899351787705e-09,1.161890884031651,0.7851304313732982,1.9928774726927652,6143660.528866312,1.7812234160108287,0.0983600642417099,-13.360307220618209,1.218657567975425,-0.7054453832637716,0.7206880691118617,0.13114937253404008,-0.5351205339465861,-1.0652719558730952,-0.7131933650828822
-8.25545245551503e-13,-8.596876645380986e-09,1.0982174014376973,0.46913230335788336,1.475108484364673,6040752.481205011,1.7794369329152608,0.0954890454358854,-12.869951374982934,0.16752336227768438,-0.6082892352397603,-0.37589313094788535,0.010684058368368677,-0.5358809636784215,-1.218862236472815,-0.8076190441099672
-6.892929676388109e-13,-7.458046862029088e-09,1.1061765867619413,0.4138722136518713,1.3546605614245766,5838557.116208829,1.771441164584714,0.08830985411499613,-11.33065174341952,0.16324518691848447,-0.575400173765812,-0.35200491731849676,0.008880126191825977,-0.480104245449464,-1.1519297413736742,-0.7804611912390447
-6.820902805062318e-13,-7.446317573417748e-09,1.0703602528028424,0.41218167376178355,1.3467159056699973,5784762.32112757,1.7663010278007905,0.08724593423073991,-11.346402493235777,0.16246318292129155,-0.5742729166083649,-0.34811898409476105,0.008790086299052691,-0.47959635739161954,-1.1412422894621437,-0.7765474219496686
-5.762150996841785e-13,-6.490088223162527e-09,1.181788847342261,0.3793822826961945,1.270907968997629,5849771.915976392,1.7640165225634914,0.0820722003197375,-10.213419148447384,0.1645761808514056,-0.5666262301392248,-0.33937796009383764,0.0074506139862202045,-0.43617820544478364,-1.1131019792407633,-0.7871126735117564
-5.875808166641865e-13,-6.525672706180726e-09,1.19770721799075,0.38525727186466485,1.2793505953221678,5876457.066019053,1.7674432804194402,0.08232437000074454,-10.229018347578126,0.16523206769219745,-0.5684574578469256,-0.3417386598409548,0.007587784000863645,-0.4370301622957859,-1.1192415295899933,-0.7904567832123105
-5.794108247477903e-13,-6.462036692942263e-09,1.209645995977116,0.3822425978728427,1.275897685101209,5989504.349866884,1.7668721541101151,0.08302299989306118,-10.396808517727557,0.1662073109344673,-0.5749747532871128,-0.3429220459598373,0.007513397062853156,-0.4389083521582736,-1.1275629164560237,-0.7984608242996867
-5.722953259933774e-13,-6.430309362031798e-09,1.0703602528028424,0.3750008502769518,1.2583348416038478,5984578.521966394,1.7628742699448416,0.08301679827529257,-10.403620915926263,0.1644268700385249,-0.5726601196102709,-0.3397858395787664,0.007451428884704677,-0.4383167597853955,-1.1285101168138227,-0.7902761896065936
-5.854888603291273e-13,-6.50452116075444e-09,1.0584214748164764,0.3791309261727837,1.2711067450203661,5911022.74890389,1.7657299014914658,0.08349602282138373,-10.548136275334741,0.1628826305533634,-0.5714422616016314,-0.34087353623905575,0.007559371568894357,-0.44441321047973736,-1.1247846058104471,-0.7862383999277097
-5.678155317577495e-13,-6.276186996563852e-09,1.0584214748164764,0.36908869260945065,1.248811411488128,5976298.786869572,1.7651587751821411,0.0832612892751309,-10.592279449047675,0.16173019032536604,-0.5678212349592412,-0.33603331044656104,0.007246047821418536,-0.43986312653429027,-1.1161264364238976,-0.7804440596957025
-5.061755941366981e-13,-5.78384947958382e-09,0.9987275848846445,0.33928307922053125,1.1757078565343482,5944618.473266467,1.760018638398218,0.07971417224204812,-9.961268008411693,0.15881741366381766,-0.5554917398706075,-0.3225319927615563,0.006505334659149501,-0.4137715465654297,-1.0921223617991116,-0.7666634618468197
-4.188015253417666e-13,-5.088276024020233e-09,0.863421434372493,0.2963547814566416,1.075986931272075,5867104.710635427,1.7479518817348036,0.07532494636532965,-9.140477195222232,0.1541667530429714,-0.538158694476768,-0.30585752111884623,0.005471317955049094,-0.379543247648632,-1.0585805135669482,-0.7504723012524159
-3.786401425344166e-13,-4.712043484026945e-09,0.7002581352254865,0.2758633174195092,1.0213085942451285,5834124.549988206,1.7420304441597243,0.07273024155608274,-8.73911564704207,0.15058394350163382,-0.5272812919539474,-0.29608373497505697,0.0049791804627597825,-0.36023435655637753,-1.0359360262851092,-0.7384723112781465
-4.915971538495623e-13,-5.725608492670979e-09,0.823625507751272,0.3323002676801152,1.171505569739241,5884619.711852723,1.7390286042779133,0.08025181663355517,-10.172520123987162,0.15586529095073812,-0.5497999472209432,-0.3209922325333891,0.006385803390745638,-0.4154555906230679,-1.0880859332668584,-0.7537873631386879
-5.530484940609792e-13,-6.153418970303081e-09,0.8116867297649052,0.3626897587029071,1.25479935878555,5899991.326912803,1.739599730587238,0.0836350256498721,-10.763979929287048,0.15870477344598946,-0.5637886358858359,-0.336129917911334,0.007067486925387429,-0.44114631838629625,-1.1107042311534487,-0.7721309920297499
-5.390237647684724e-13,-6.036933888936451e-09,0.863421434372493,0.35559362112495047,1.2388215734761125,5906850.026988131,1.7407419832058877,0.08267920419624851,-10.614306368377395,0.15683278891558147,-0.5623650252440999,-0.3320987841024869,0.00693196258844441,-0.4329222273364823,-1.109134415297972,-0.7709793554462977
