MSCI EM Vol,Oil Vol,JPY,GTGBP3MO Corp,GTDEM3MO Corp,China Economic Activity Surprise,US Recession Probability in 1 year,US Monetary Policy Uncertainty,US Economic Policy Uncertainty,EU Economic Policy Uncertainty,China Economic Policy Uncertainty,University of Michigan Consumer Sentiment
-0.7416266872671237,1.9053111051340674,-10.087742297827443,6143660.155546741,-119.00721297016536,-0.31095903076860887,-13.779356131905773,-0.4556128962515014,0.07087007131586909,0.6059996188680719,0.8388319748614753,0.8876464600569267
-8.851021736536021e-13,-9.057899351787705e-09,-9.507299850790428,6143660.528866312,-121.82764454731768,0.0983600642417099,-13.360307220618209,0.13114937253404008,-0.5351205339465861,-1.0652719558730952,-0.7131933650828822,2.203683572668307
-8.25545245551503e-13,-8.596876645380986e-09,-9.2559496687276,6040752.481205011,-119.1713856259054,0.0954890454358854,-12.869951374982934,0.010684058368368677,-0.5358809636784215,-1.218862236472815,-0.8076190441099672,1.5029313462152043
-6.892929676388109e-13,-7.458046862029088e-09,-8.69840952909541,5838557.116208829,-114.40872652600993,0.08830985411499613,-11.33065174341952,0.008880126191825977,-0.480104245449464,-1.1519297413736742,-0.7804611912390447,1.3762450470474707
-6.820902805062318e-13,-7.446317573417748e-09,-8.641939585491974,5784762.32112757,-113.33942214623445,0.08724593423073991,-11.346402493235777,0.008790086299052691,-0.47959635739161954,-1.1412422894621437,-0.7765474219496686,1.3712832826657755
-5.762150996841785e-13,-6.490088223162527e-09,-8.261111674040917,5849771.915976392,-113.44903194553457,0.0820722003197375,-10.213419148447384,0.0074506139862202045,-0.43617820544478364,-1.1131019792407633,-0.7871126735117564,1.2852069905909385
-5.875808166641865e-13,-6.525672706180726e-09,-8.286245694001998,5876457.066019053,-113.97340714966151,0.08232437000074454,-10.229018347578126,0.007587784000863645,-0.4370301622957859,-1.1192415295899933,-0.7904567832123105,1.2918224026404244
-5.794108247477903e-13,-6.462036692942263e-09,-8.322918211041229,5989504.349866884,-115.54102430565604,0.08302299989306118,-10.396808517727557,0.007513397062853156,-0.4389083521582736,-1.1275629164560237,-0.7984608242996867,1.2873774961223179
-5.722953259933774e-13,-6.430309362031798e-09,-8.31370108704332,5984578.521966394,-115.42920343135917,0.08301679827529257,-10.403620915926263,0.007451428884704677,-0.4383167597853955,-1.1285101168138227,-0.7902761896065936,1.271727540136086
-5.854888603291273e-13,-6.50452116075444e-09,-8.338958867474442,5911022.74890389,-114.44257524314422,0.08349602282138373,-10.548136275334741,0.007559371568894357,-0.44441321047973736,-1.1247846058104471,-0.7862383999277097,1.2842004285766082
-5.678155317577495e-13,-6.276186996563852e-09,-8.238943057889195,5976298.786869572,-114.26327494297414,0.0832612892751309,-10.592279449047675,0.007246047821418536,-0.43986312653429027,-1.1161264364238976,-0.7804440596957025,1.2613615422466333
-5.061755941366981e-13,-5.78384947958382e-09,-7.970038034582502,5944618.473266467,-113.1209994918767,0.07971417224204812,-9.961268008411693,0.006505334659149501,-0.4137715465654297,-1.0921223617991116,-0.7666634618468197,1.1885295829474731
-4.188015253417666e-13,-5.088276024020233e-09,-7.6399105410405665,5867104.710635427,-111.3887633518894,0.07532494636532965,-9.140477195222232,0.005471317955049094,-0.379543247648632,-1.0585805135669482,-0.7504723012524159,1.086544753589951
-3.786401425344166e-13,-4.712043484026945e-09,-7.403251828361542,5834124.549988206,-109.97974408991173,0.07273024155608274,-8.73911564704207,0.0049791804627597825,-0.36023435655637753,-1.0359360262851092,-0.7384723112781465,1.029869920306545
-4.915971538495623e-13,-5.725608492670979e-09,-8.004843491231423,5884619.711852723,-112.12694364767283,0.08025181663355517,-10.172520123987162,0.006385803390745638,-0.4154555906230679,-1.0880859332668584,-0.7537873631386879,1.1865619885118461
-5.530484940609792e-13,-6.153418970303081e-09,-8.25765585589024,5899991.326912803,-112.9950899556086,0.0836350256498721,-10.763979929287048,0.007067486925387429,-0.44114631838629625,-1.1107042311534487,-0.7721309920297499,1.2668401902803366
-5.390237647684724e-13,-6.036933888936451e-09,-8.249976538098343,5906850.026988131,-113.60268552710045,0.08267920419624851,-10.614306368377395,0.00693196258844441,-0.4329222273364823,-1.109134415297972,-0.7709793554462977,1.2473952781283648
-6.143625597589959e-13,-6.663869470527906e-09,-8.556691921524884,6076504.256914681,-116.65706234533785,0.08616879139284561,-11.395895253035293,0.007859577830783039,-0.4650281224983329,-1.144576036850509,-0.8019298073461948,1.354822300946226
-6.179890002771243e-13,-6.643603112612489e-09,-8.58576849137798,5852153.24396301,-113.84573833250727,0.08528594367830139,-11.46250209798094,0.007935944309681045,-0.4637663670950438,-1.120464562939047,-0.788782465581756,1.3368268110566466
-6.157835179454207e-13,-6.718317469189972e-09,-8.647144360811259,6297124.237238024,-120.18914498903482,0.08751009329636934,-11.570542893290442,0.007890646810937133,-0.4735475295919019,-1.1757061240679711,-0.820974096724074,1.377131828920879
-6.014368881593883e-13,-6.569924350907062e-09,-8.563319813714802,6246284.429320265,-119.29731099701539,0.08645057763770525,-11.415181277875353,0.007715216898572862,-0.4654341002982218,-1.1666287169337346,-0.8133044906690615,1.35005160532144
-5.825368597345753e-13,-6.427788334283647e-09,-8.507854114858256,6177079.6312489575,-118.24045051693165,0.08561536652845714,-11.317656226292597,0.007499985410409467,-0.4576420740820932,-1.1577882196036609,-0.7960218003218759,1.3182776068083917
-5.321361132020419e-13,-6.03838496843641e-09,-8.4367585611736,6810674.278859881,-127.12307187244376,0.08675237874216653,-10.898838559208789,0.006782752774772576,-0.44788339455887133,-1.2239670070965476,-0.844563390131144,1.3241076682549315
-9.735045114839662e-13,-9.771016899088684e-09,-10.319791880440594,6815228.314000464,-131.69139372243987,0.11252208197990418,-15.999663611618187,0.012146238682750365,-0.6468504317765135,-1.4031077618963068,-0.8662216472336642,1.83299160294066
-9.338167849193693e-13,-9.105121204867503e-09,-10.189384113684916,6853956.9073063135,-132.199387442727,0.11035290974878426,-15.563282050276035,0.4303885225016667,1.1619882014830498,-0.23879333654554888,-0.2137626216317019,5.609097771212698
3.324690847317159e-13,2.349022450519839e-09,-6.923303350575374,6232325.489083332,-126.64888968055008,0.06983602986969625,-2.455243907100174,-0.168303952141572,0.2143134192928556,-0.19918922472514813,-0.19850268888966885,1.7908869431742884
1.30931971019883e-11,2.6850720016839785e-07,-42.39240202425922,26784977.325166278,-392.6102819772703,1.7344117678560447,-10.495497911918468,-9.890108669043439,5.8183520933122805,-3.1657335677173553,-2.0112270351932544,11.098104988522467
1.2583345096738361e-11,2.698496906767967e-07,-41.65197292016081,26417352.2524309,-387.2079398146286,1.7214649570448288,-10.164129747469007,-9.625699898022454,5.651004702506994,-3.1322697971212086,-1.9718950418184427,10.737879339042243
1.146242783716132e-11,2.672931099677001e-07,-40.84983633043369,25991087.904920947,-382.65943638284057,1.698373081531939,-9.650338705578806,-8.951537713734695,5.429127346156277,-3.1071920515514795,-1.9498064678130598,10.097807408509455
1.1198713744988188e-11,2.653134059810711e-07,-40.73996035654317,26150025.536954667,-384.25906081573345,1.6973580543416174,-9.568388425303718,-8.802046426726609,5.377386819568851,-3.1178701854936106,-1.9475656914764774,9.992045034592316
1.141582308284343e-11,2.6896892414666415e-07,-40.88223976369004,26642861.826551836,-390.69509644957947,1.7240021889235395,-9.530312391643417,-8.898839694081294,5.420956517269444,-3.16209512845213,-1.9817065537311918,10.184328071485062
1.1635139421957821e-11,2.722679316877091e-07,-40.832544020736236,26435638.078596953,-387.84109678365826,1.7240405475791598,-9.547315053133055,-9.067118323476558,5.423880232176835,-3.1407459733966676,-1.9709411426426602,10.241990987928405
8.752085923642035e-12,2.1727562341179762e-07,-38.608732547351096,25783575.428900786,-382.28925250361834,1.6093543735254505,-8.086674201914663,-6.871916734770101,4.634203578376582,-3.0425252831104217,-1.9206855244434007,8.91051298060818
8.50320443583395e-12,2.1604181300949755e-07,-38.279905795608215,25318813.162408777,-375.86266470745136,1.5944161196550064,-7.986551239886629,-6.709924688405881,4.564143532827905,-3.0014300813720456,-1.8736969295205057,8.665128645830423
8.048952002296848e-12,2.0883315925452715e-07,-38.127358786596666,25201269.89081226,-376.779349143601,1.5796629547518206,-7.849307397496801,-6.429558840905511,4.4678745260814825,-3.0009960127264765,-1.8709239687574002,8.401821782086685
