MSCI EM Vol,Oil Vol,JPY,GTGBP3MO Corp,GTDEM3MO Corp,China Economic Activity Surprise,US Recession Probability in 1 year,Global Economic Policy Uncertainty,US Monetary Policy Uncertainty,US Economic Policy Uncertainty,EU Economic Policy Uncertainty,JPM Equity Sentiment
-0.7416266872671237,1.9053111051340674,-10.087742297827443,6143660.155546741,-119.00721297016536,-0.31095903076860887,-13.779356131905773,-2.095409821578866,-0.4556128962515014,0.07087007131586909,0.6059996188680719,11212.92069181798
-8.851021736536021e-13,-9.057899351787705e-09,-9.507299850790428,6143660.528866312,-121.82764454731768,0.0983600642417099,-13.360307220618209,-0.7054453832637716,0.13114937253404008,-0.5351205339465861,-1.0652719558730952,11213.003319654097
-8.25545245551503e-13,-8.596876645380986e-09,-9.2559496687276,6040752.481205011,-119.1713856259054,0.0954890454358854,-12.869951374982934,-0.6082892352397603,0.010684058368368677,-0.5358809636784215,-1.218862236472815,10551.14851273178
-6.892929676388109e-13,-7.458046862029088e-09,-8.69840952909541,5838557.116208829,-114.40872652600993,0.08830985411499613,-11.33065174341952,-0.575400173765812,0.008880126191825977,-0.480104245449464,-1.1519297413736742,8683.744825753403
-6.820902805062318e-13,-7.446317573417748e-09,-8.641939585491974,5784762.32112757,-113.33942214623445,0.08724593423073991,-11.346402493235777,-0.5742729166083649,0.008790086299052691,-0.47959635739161954,-1.1412422894621437,8582.640604161737
-5.762150996841785e-13,-6.490088223162527e-09,-8.261111674040917,5849771.915976392,-113.44903194553457,0.0820722003197375,-10.213419148447384,-0.5666262301392248,0.0074506139862202045,-0.43617820544478364,-1.1131019792407633,7276.70329980429
-5.875808166641865e-13,-6.525672706180726e-09,-8.286245694001998,5876457.066019053,-113.97340714966151,0.08232437000074454,-10.229018347578126,-0.5684574578469256,0.007587784000863645,-0.4370301622957859,-1.1192415295899933,7388.125496529483
-5.794108247477903e-13,-6.462036692942263e-09,-8.322918211041229,5989504.349866884,-115.54102430565604,0.08302299989306118,-10.396808517727557,-0.5749747532871128,0.007513397062853156,-0.4389083521582736,-1.1275629164560237,7460.8584276763195
-5.722953259933774e-13,-6.430309362031798e-09,-8.31370108704332,5984578.521966394,-115.42920343135917,0.08301679827529257,-10.403620915926263,-0.5726601196102709,0.007451428884704677,-0.4383167597853955,-1.1285101168138227,7434.131419509825
-5.854888603291273e-13,-6.50452116075444e-09,-8.338958867474442,5911022.74890389,-114.44257524314422,0.08349602282138373,-10.548136275334741,-0.5714422616016314,0.007559371568894357,-0.44441321047973736,-1.1247846058104471,7541.378682094189
-5.678155317577495e-13,-6.276186996563852e-09,-8.238943057889195,5976298.786869572,-114.26327494297414,0.0832612892751309,-10.592279449047675,-0.5678212349592412,0.007246047821418536,-0.43986312653429027,-1.1161264364238976,7549.972872399656
-5.061755941366981e-13,-5.78384947958382e-09,-7.970038034582502,5944618.473266467,-113.1209994918767,0.07971417224204812,-9.961268008411693,-0.5554917398706075,0.006505334659149501,-0.4137715465654297,-1.0921223617991116,6784.229450044161
-4.188015253417666e-13,-5.088276024020233e-09,-7.6399105410405665,5867104.710635427,-111.3887633518894,0.07532494636532965,-9.140477195222232,-0.538158694476768,0.005471317955049094,-0.379543247648632,-1.0585805135669482,5725.640567450723
-3.786401425344166e-13,-4.712043484026945e-09,-7.403251828361542,5834124.549988206,-109.97974408991173,0.07273024155608274,-8.73911564704207,-0.5272812919539474,0.0049791804627597825,-0.36023435655637753,-1.0359360262851092,5304.509061095132
-4.915971538495623e-13,-5.725608492670979e-09,-8.004843491231423,5884619.711852723,-112.12694364767283,0.08025181663355517,-10.172520123987162,-0.5497999472209432,0.006385803390745638,-0.4154555906230679,-1.0880859332668584,6779.74749788557
-5.530484940609792e-13,-6.153418970303081e-09,-8.25765585589024,5899991.326912803,-112.9950899556086,0.0836350256498721,-10.763979929287048,-0.5637886358858359,0.007067486925387429,-0.44114631838629625,-1.1107042311534487,7461.366937417104
-5.390237647684724e-13,-6.036933888936451e-09,-8.249976538098343,5906850.026988131,-113.60268552710045,0.08267920419624851,-10.614306368377395,-0.5623650252440999,0.00693196258844441,-0.4329222273364823,-1.109134415297972,7231.2428423718675
-6.143625597589959e-13,-6.663869470527906e-09,-8.556691921524884,6076504.256914681,-116.65706234533785,0.08616879139284561,-11.395895253035293,-0.5882756984381514,0.007859577830783039,-0.4650281224983329,-1.144576036850509,8130.707866253705
