,JPM Equity Sentiment,US ISM Service PMI,US ISM Manufacturing PMI,Conference Board Consumer Confidence,University of Michigan Consumer Sentiment,EU Consumer Confidence
min,-1.99,40.0,34.5,26.9,55.8,-23.6
max,1.3,63.7,64.7,144.69,110.7,-2.6
mean,-0.08886612021857924,54.590502793296096,52.74245810055866,92.57061452513966,85.13743016759776,-11.04390243902439
median,-0.07,55.3,53.0,94.57,87.1,-11.0
std,0.6358965136187906,3.971594261972606,4.895444636951714,26.226189975508703,11.632466001195638,4.923190212342761
skewness,-0.2544858341566632,-1.1220773092119702,-0.8124662775065182,-0.18255228988805608,-0.4408222170293097,-0.4806925451616439
kurtosis,-0.3654835120564983,1.960996897180725,1.3758562731396466,-0.6882106026324339,-0.3378286987737944,-0.17487599018029654
pct_missing,0.8620429702223897,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9845457972107049
