,USDJPY ATM Vol 1Y-3M,EURUSD ATM Vol 1Y-3M
min,5.9525,4.965
max,18.9075,19.9125
mean,10.056026875235583,9.930052657369016
median,9.6,9.70875
std,2.233040982227331,2.6948794884485294
skewness,0.5933436608708635,0.6221711289435696
kurtosis,-0.12782410216709517,0.1819654111093878
pct_missing,0.0,0.0
