,Ted Spread,US 2Yr swap spread ,US 10Yr swap spread 
min,2.72,-3.7,-18.0
max,463.61,164.75,135.9
mean,40.59164104882459,33.05087588224193,27.284782732591054
median,27.62,28.5,14.625
std,41.838392406392146,22.67001583667518,31.20032622129473
skewness,4.226618712956003,1.4650537462222242,0.8744475446175786
kurtosis,24.283349277822676,3.039982850690699,0.23914672576849938
pct_missing,0.1662269129287599,0.0013192612137203166,0.0013192612137203166
