,Citi US Inflation Surprise Index
min,-38.77
max,72.93
mean,-5.054860335195531
median,-7.37
std,18.313008526744284
skewness,0.7588309857997535
kurtosis,0.9254158716582457
pct_missing,0.9662646061062947
