,S&P 500 Skew,EURUSD Risk Reversal,USDJPY Risk Reversal,EURJPY Risk Reversal
min,106.43,-4.1925,-10.2475,-10.435
max,170.55,2.895,1.0375,0.4425
mean,122.5860415486308,-0.4551699885974914,-1.0908017595307917,-1.5067672272727273
median,120.94,-0.315,-0.82,-1.12375
std,9.014956920967622,0.8063823941898343,1.3559649701343912,1.3759937266200373
skewness,0.9452510644503582,-1.431174682705177,-2.980823083605339,-2.727152856053462
kurtosis,0.8970854026194472,3.0212029475536113,13.171632956579579,10.280843202861748
pct_missing,0.0020731247644176403,0.17357708254805881,0.16453071993969093,0.17075009423294385
