,S&P 500,MSCI DM,MSCI EM,WTI Crude Oil,S&P GSCI,Gold,Global Inflation-linked debt,iTraxx Europe 5Yr,iTraxx Crossover 5Yr,CDX IG 5Yr,CDX HY 5Yr
min,676.53,1643.482,75.121,-37.63,161.9622,255.55,121.331,97.934,87.1429,96.2377,76.3986
max,4297.5,7775.426,699.226,145.29,890.294,2063.54,406.7139,124.364,212.9744,127.9907,190.6625
mean,1713.4901715039578,4188.784035996984,332.9345122502827,61.4750936258748,436.0049387674331,1008.2516264606107,285.7082353849597,113.50617714598141,153.36042537599124,112.18521075630252,133.59212280504906
median,1394.97,4223.5185,373.17150000000004,58.29,425.35465,1165.04,303.40765,115.999,164.5643,112.67385,136.3653
std,762.0280280473143,1332.685570728126,146.29944015692195,25.708500117793605,151.7716616472185,493.0796728080815,57.816393097735386,7.848687104407696,40.74708398753127,8.529245787463317,31.320864453453446
skewness,1.195465870790254,0.1103418759158423,-0.2308242508102633,0.41858694448440714,0.2587556082876251,-0.08795752678468194,-0.2298082747093937,-0.31272187340682817,-0.15034113893587897,0.2621378844216685,0.11494580841533987
kurtosis,0.731797679217209,-0.7131420687686134,-0.8078840921562604,-0.5657787912602696,-0.6971408117409674,-1.2188675335280317,-0.8212031242796534,-1.2996908501043047,-1.5901029891584149,-1.0232487856835997,-1.264524268015779
pct_missing,0.0,0.0,0.0,0.003580851865812288,0.0,0.0,0.15793441387108934,0.3105917828872974,0.31078024877497173,0.32717678100263853,0.32811911044101016
