,US Dollar,EUR,JPY,Asian currency,EM currency
min,71.329,0.8272,0.1246,94.91,770.3
max,120.9,1.5991,2.0741,120.17,1755.59
mean,90.62937240859404,1.2112474557105164,1.2897211270767848,107.51234074632491,1378.936206181681
median,89.6,1.2159,1.49505,107.06,1506.6750000000002
std,11.21454320954283,0.159373969442453,0.5649209261766065,6.342119833513459,306.0584060947352
skewness,0.6844857717372074,-0.2682565545888592,-1.3231635796173205,-0.023919326878816285,-0.8199425859722077
kurtosis,-0.08909925088344162,-0.214083588951675,0.2651848059318911,-0.9700084227415111,-0.7742835532954624
pct_missing,0.0,0.0,0.16057293629852998,0.0,0.0
