,Global Economic Policy Uncertainty,US Trade Policy Uncertainty,US Monetary Policy Uncertainty,US Economic Policy Uncertainty,EU Economic Policy Uncertainty,China Economic Policy Uncertainty
min,48.9,10.56,18.68,57.2,47.69,18.61
max,366.99,919.12,337.92,305.96,433.28,970.83
mean,134.8334831460674,116.09843575418996,87.76798882681562,122.03284916201116,159.93810055865922,230.90307262569834
median,117.61,50.29,71.55,110.92,152.61,136.85
std,68.21058006641557,179.37464731613156,57.13310271873511,45.05581291899777,71.44748198337791,224.63924176944934
skewness,1.3591533038885741,2.943860447514424,1.714814716065872,1.3610489593259565,0.7631830739143443,1.7021707527862886
kurtosis,1.6600583366751214,8.463730641710793,3.7438221675000385,2.3953799373894356,0.7005929755514995,2.036612928839199
pct_missing,0.9664530719939691,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9662646061062947
