,USGG10YR Index                                                  ,USGG3M   Index                                                  ,US 10Y over 3M,GTCAD10YR Corp                                                  ,GTCAD3MO Corp                                                   ,GTGBP10YR Corp                                                  ,GTGBP3MO Corp                                                   ,GTFRF10YR Corp                                                  ,GTFRF3MO Corp                                                   ,GTDEM10YR Corp                                                  ,GTDEM3MO Corp                                                   ,GBTPGR10 Index                                                  ,GTITL3MO Corp                                                   ,GTJPY10YR Corp                                                  ,GTJPY3MO Corp                                                   ,US 10Yr                                            ,US 2Yr,USD Libor,EUR Libor,GDP Libor,Fed Target Rate
min,0.5069,-0.1372,-0.989,0.43,0.045,0.0754,-0.112,-0.439,-1.041,-0.858,-1.035,0.456,-1.036,-0.295,-0.451,0.5069,0.1013,0.118,-0.57386,0.02325,0.25
max,6.376,6.435,3.863,6.119,5.927,5.548,6.015,5.499,4.444,5.341,4.431,7.261,5.717,1.999,0.759,6.376,6.731,6.86875,5.39125,6.90375,6.5
mean,3.1940065209197135,1.4729364869958537,1.7211386355069733,3.091118567389255,1.7306984224544153,3.063131315987934,0.5544587509637625,2.6667271870286577,0.8681128997638977,2.3713586649066563,0.7728777777777777,3.6190018850141374,0.9235777777777778,0.86594831243973,0.07980693616081289,3.1940065209197135,1.8891351488880512,1.867068910416267,1.4763175019040364,2.380421638212162,1.676592536750848
median,2.9904,0.9374,1.835,2.977,1.027,3.2925500000000003,0.4335,3.202,0.157,2.857,0.051,4.08,0.372,0.986,0.013,2.9904,1.4385,1.24,0.92332,0.83281,1.0
std,1.2790237787602659,1.7171516733126508,1.154413748589746,1.4723460969195001,1.4077085817900883,1.6171863384127574,0.8692127751427754,1.7232149592063641,1.5499074572170553,1.8323192761644254,1.5569535084317754,1.468621189658652,1.521154978884719,0.638692233041092,0.23224299165396314,1.2790237787602659,1.608987898917897,1.8094468096655791,1.7901631830322455,2.1888676627522723,1.7709980462293706
skewness,0.1051882197811264,1.1878474723747152,-0.2182746541980595,0.18746870169002897,0.9355355187540223,-0.1897761837404996,5.3484624798732465,-0.26161568423237647,0.815679195747153,-0.12612314852988185,0.8070732407183069,-0.4345567629879593,1.0905151134883309,-0.203213045263553,0.8857902087582745,0.1051882197811264,0.8944485335316829,1.116664762105932,0.5884326778318344,0.5229791511327623,1.2390969454335465
kurtosis,-0.9170364955514154,0.3627658154498139,-0.9390275908958619,-1.1596427290056044,-0.07628079126480092,-1.4395828003189073,28.94317972482247,-1.3119428686776478,-0.6671607603919836,-1.4377607159153534,-0.710307752417632,-0.833005619842969,-0.14492211141673206,-1.3682202850235186,0.5074312555955109,-0.9170364955514154,-0.2117884980809075,0.17567862493801023,-1.0011775177935838,-1.4500289185191937,0.4299611820926006
pct_missing,0.0,0.0,0.0,0.00018846588767433095,0.08009800226159065,0.0003769317753486619,0.5111194873727856,0.0003769317753486619,0.12193742932529213,0.0005653976630229929,0.11797964568413118,0.00018846588767433095,0.24519411986430456,0.022804372408594044,0.1468149264983038,0.0,0.0,0.01752732755371278,0.010177157934413872,0.01752732755371278,0.0
