,VIX,V2X,MSCI EM Vol,MOVE,Oil Vol,Gold Vol,HY Vol,JPM Global FX Vol,JPM G7 FX Vol,JPM EM FX Vol,EURUSD 1M Vol,USDJPY 1M Vol,USD Libor Swaption Vol,S&P 500 VRP,S&P 500 Skew,EURUSD Risk Reversal,USDJPY Risk Reversal,EURJPY Risk Reversal
min,9.14,10.6783,13.28,36.62,13.47,7.755,4.0,5.18,4.91,5.8,3.7725,3.9225,11.5,0.003310562,106.43,-4.1925,-10.2475,-10.435
max,82.69,87.5127,92.46,264.6,1418.47,57.585,59.26,27.02,24.46,32.96,28.885,38.42,225.18,72.6835907,170.55,2.895,1.0375,0.4425
mean,19.88063701470034,23.64355259131765,23.465646468544964,86.20895581132075,36.41402142562835,16.995348859724615,9.77767258382643,9.82005298013245,9.640377358490566,10.201156822041895,9.417872894836036,9.676963597813797,39.64610726141079,6.46548608090615,122.5860415486308,-0.4551699885974914,-1.0908017595307917,-1.5067672272727273
median,17.575,21.4741,21.99,79.7465,31.29,15.942499999999999,8.42,9.62,9.49,9.71,9.075,9.275,38.7,3.773354204,120.94,-0.315,-0.82,-1.12375
std,8.910813152354368,9.846264170492958,7.690716177649536,30.99653792436153,44.704572374183954,6.416937877299913,5.697237393831811,2.5696365758486115,2.513057083690042,2.96960319104191,3.1501323346710746,3.1021013569963825,21.415899234091818,7.741812151027619,9.014956920967622,0.8063823941898343,1.3559649701343912,1.3759937266200373
skewness,2.2168234345645637,1.8024655754136651,2.6069739572210757,1.272716576259368,19.51442467230015,1.933285866906429,3.6164335743924045,1.8921262270362158,1.3635121476430372,2.952121524242449,1.353428535570239,1.8640444410526638,2.1900025878901594,2.7363996957383803,0.9452510644503582,-1.431174682705177,-2.980823083605339,-2.727152856053462
kurtosis,7.637299591936603,4.4351093574573905,11.483487624164336,2.4361401145011206,497.1002838200495,6.196630382664864,19.200394209056046,6.807307328067225,3.9407461143526588,13.57675585024101,3.809168985355261,8.010417720780548,9.775556968273811,10.130021178380908,0.8970854026194472,3.0212029475536113,13.171632956579579,10.280843202861748
pct_missing,0.0,0.014511873350923483,0.5116848850358086,0.0011307953260459858,0.5425932906143988,0.12401055408970976,0.7133433848473426,0.00395778364116095,0.0011307953260459858,0.0013192612137203166,0.0,0.0,0.0007538635506973238,0.06219374293252921,0.0020731247644176403,0.17357708254805881,0.16453071993969093,0.17075009423294385
