,USDJPY ATM Vol 1Y-3M,EURUSD ATM Vol 1Y-3M,G10 Carry Trade Index,JPY/USD Carry,GBP/USD Carry,EUR/USD Carry,CAD/USD Carry,AUD/USD Carry,NZD/USD Carry,CHF/USD Carry,Copper 1 year carry
min,5.9525,4.965,109.653,63.1112,76.783,67.1933,94.2507,77.918,73.4156,69.7264,-15.6
max,18.9075,19.9125,238.68,105.5037,140.6097,129.2695,166.8746,245.5382,254.1355,154.5337,30.3
mean,10.056026875235583,9.930052657369016,194.90223162457593,79.5259188088956,105.08779768186956,98.67597804372409,129.69777958914435,167.59235376931775,177.68978727855256,103.34278409347907,-2.4988025055268976
median,9.6,9.70875,207.9365,78.11845,106.3449,100.27895000000001,127.13839999999999,177.0557,191.94885,104.08045,-3.7
std,2.233040982227331,2.6948794884485294,32.69782753516484,10.593656748076043,14.609698781985706,13.749940236153913,18.25717798144046,43.79463379722827,47.85902144294863,13.594599164388743,7.1352542717894725
skewness,0.5933436608708635,0.6221711289435696,-1.2340040396270535,0.5872721992422,0.2663760935471597,-0.24109241685920835,-0.08870521925015779,-0.35242935776735124,-0.7186771036510982,-0.3015378159826018,1.6026322518081582
kurtosis,-0.12782410216709517,0.1819654111093878,0.4317382926352691,-0.5798034887584054,-0.882585320527109,-0.6622225652974016,-0.8796320552237056,-0.7221724508169136,-0.5952474094357147,0.07226248514928146,4.116098744987967
pct_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885035808518658
