,Credit Spread A,Credit Spread BBB,High Yield Spread,JPM EMBI Global Spread,JPM EMBI+ Sovereign Spread,US IG CDS spread,US HY CDS spread,US HY over IG CDS spread,EU IG CDS spread,Ted Spread,US 2Yr swap spread ,US 10Yr swap spread 
min,0.62,1.04,2.21,151.09,148.58,43.75,269.963,222.748,41.57,2.72,-3.7,-18.0
max,4.51,5.91,20.55,890.9,865.48,151.798,871.112,749.549,208.5,463.61,164.75,135.9
mean,1.2982255670977316,1.8807607543971179,5.142612137203167,349.85021380846325,347.7575322939866,73.108652919559,375.17646195407474,306.295482665466,78.35980492898913,40.59164104882459,33.05087588224193,27.284782732591054
median,1.05,1.66,4.3,339.445,343.78999999999996,67.24,348.714,283.655,69.273,27.62,28.5,14.625
std,0.6325522584151313,0.8294888502122715,2.5933165674836856,99.50080107119926,98.64365069989752,19.998447105776936,76.52576701881553,63.46444846248969,32.45588539078467,41.838392406392146,22.67001583667518,31.20032622129473
skewness,2.494080664170499,2.808257952554258,2.310220558741438,1.1807689372521921,0.8966029976595632,1.2589415458942734,1.8079439853635837,2.025630617274991,1.6495168417595971,4.226618712956003,1.4650537462222242,0.8744475446175786
kurtosis,7.2648966313223005,9.211279145909673,7.64048874534862,3.4798093673258346,2.367598997204093,1.3967347708282962,4.496272171200587,5.723766542239474,2.300209602461555,24.283349277822676,3.039982850690699,0.23914672576849938
pct_missing,0.11100640784018093,0.11062947606483227,0.0,0.15378816434225406,0.15378816434225406,0.5384470410855635,0.581417263475311,0.581417263475311,0.5488126649076517,0.1662269129287599,0.0013192612137203166,0.0013192612137203166
