,S&P 500,MSCI DM,MSCI EM,WTI Crude Oil,S&P GSCI,Gold,Global Inflation-linked debt,iTraxx Europe 5Yr,iTraxx Crossover 5Yr,CDX IG 5Yr,CDX HY 5Yr,US Dollar,EUR,JPY,Asian currency,EM currency,USGG10YR Index                                                  ,USGG3M   Index                                                  ,US 10Y over 3M,GTCAD10YR Corp                                                  ,GTCAD3MO Corp                                                   ,GTGBP10YR Corp                                                  ,GTGBP3MO Corp                                                   ,GTFRF10YR Corp                                                  ,GTFRF3MO Corp                                                   ,GTDEM10YR Corp                                                  ,GTDEM3MO Corp                                                   ,GBTPGR10 Index                                                  ,GTITL3MO Corp                                                   ,GTJPY10YR Corp                                                  ,GTJPY3MO Corp                                                   ,US 10Yr                                            ,US 2Yr,USD Libor,EUR Libor,GDP Libor,Fed Target Rate,S&P 500 Price-to-Earnings,P/B,US Value P/E over Growth P/E,US Value P/B over Growth P/B,EquityBond premia
min,676.53,1643.482,75.121,-37.63,161.9622,255.55,121.331,97.934,87.1429,96.2377,76.3986,71.329,0.8272,0.1246,94.91,770.3,0.5069,-0.1372,-0.989,0.43,0.045,0.0754,-0.112,-0.439,-1.041,-0.858,-1.035,0.456,-1.036,-0.295,-0.451,0.5069,0.1013,0.118,-0.57386,0.02325,0.25,12.25099106,1.785400667,0.46993885,0.171179142,-2.7377
max,4297.5,7775.426,699.226,145.29,890.294,2063.54,406.7139,124.364,212.9744,127.9907,190.6625,120.9,1.5991,2.0741,120.17,1755.59,6.376,6.435,3.863,6.119,5.927,5.548,6.015,5.499,4.444,5.341,4.431,7.261,5.717,1.999,0.759,6.376,6.731,6.86875,5.39125,6.90375,6.5,32.0170998,4.628200379,0.92163683,0.37343489,6.3951
mean,1713.4901715039578,4188.784035996984,332.9345122502827,61.4750936258748,436.0049387674331,1008.2516264606107,285.7082353849597,113.50617714598141,153.36042537599124,112.18521075630252,133.59212280504906,90.62937240859404,1.2112474557105164,1.2897211270767848,107.51234074632491,1378.936206181681,3.1940065209197135,1.4729364869958537,1.7211386355069733,3.091118567389255,1.7306984224544153,3.063131315987934,0.5544587509637625,2.6667271870286577,0.8681128997638977,2.3713586649066563,0.7728777777777777,3.6190018850141374,0.9235777777777778,0.86594831243973,0.07980693616081289,3.1940065209197135,1.8891351488880512,1.867068910416267,1.4763175019040364,2.380421638212162,1.676592536750848,19.340094700081202,2.9578813261835157,0.7321387234997969,0.3052578493244012,2.187638918205805
median,1394.97,4223.5185,373.17150000000004,58.29,425.35465,1165.04,303.40765,115.999,164.5643,112.67385,136.3653,89.6,1.2159,1.49505,107.06,1506.6750000000002,2.9904,0.9374,1.835,2.977,1.027,3.2925500000000003,0.4335,3.202,0.157,2.857,0.051,4.08,0.372,0.986,0.013,2.9904,1.4385,1.24,0.92332,0.83281,1.0,18.74485127,2.857543531,0.738420434,0.318590129,2.2268999999999997
std,762.0280280473143,1332.685570728126,146.29944015692195,25.708500117793605,151.7716616472185,493.0796728080815,57.816393097735386,7.848687104407696,40.74708398753127,8.529245787463317,31.320864453453446,11.21454320954283,0.159373969442453,0.5649209261766065,6.342119833513459,306.0584060947352,1.2790237787602659,1.7171516733126508,1.154413748589746,1.4723460969195001,1.4077085817900883,1.6171863384127574,0.8692127751427754,1.7232149592063641,1.5499074572170553,1.8323192761644254,1.5569535084317754,1.468621189658652,1.521154978884719,0.638692233041092,0.23224299165396314,1.2790237787602659,1.608987898917897,1.8094468096655791,1.7901631830322455,2.1888676627522723,1.7709980462293706,3.875023467743001,0.5779523729718231,0.08326361998788302,0.05250669273070836,1.697460033496596
skewness,1.195465870790254,0.1103418759158423,-0.2308242508102633,0.41858694448440714,0.2587556082876251,-0.08795752678468194,-0.2298082747093937,-0.31272187340682817,-0.15034113893587897,0.2621378844216685,0.11494580841533987,0.6844857717372074,-0.2682565545888592,-1.3231635796173205,-0.023919326878816285,-0.8199425859722077,0.1051882197811264,1.1878474723747152,-0.2182746541980595,0.18746870169002897,0.9355355187540223,-0.1897761837404996,5.3484624798732465,-0.26161568423237647,0.815679195747153,-0.12612314852988185,0.8070732407183069,-0.4345567629879593,1.0905151134883309,-0.203213045263553,0.8857902087582745,0.1051882197811264,0.8944485335316829,1.116664762105932,0.5884326778318344,0.5229791511327623,1.2390969454335465,1.1592037688545649,0.534403095095074,-0.3293779439663885,-0.8982513057805227,-0.3337380580020085
kurtosis,0.731797679217209,-0.7131420687686134,-0.8078840921562604,-0.5657787912602696,-0.6971408117409674,-1.2188675335280317,-0.8212031242796534,-1.2996908501043047,-1.5901029891584149,-1.0232487856835997,-1.264524268015779,-0.08909925088344162,-0.214083588951675,0.2651848059318911,-0.9700084227415111,-0.7742835532954624,-0.9170364955514154,0.3627658154498139,-0.9390275908958619,-1.1596427290056044,-0.07628079126480092,-1.4395828003189073,28.94317972482247,-1.3119428686776478,-0.6671607603919836,-1.4377607159153534,-0.710307752417632,-0.833005619842969,-0.14492211141673206,-1.3682202850235186,0.5074312555955109,-0.9170364955514154,-0.2117884980809075,0.17567862493801023,-1.0011775177935838,-1.4500289185191937,0.4299611820926006,1.6004926314625352,0.12601389316742928,-0.04608677258878524,-0.2485902807484508,0.10413467845316449
pct_missing,0.0,0.0,0.0,0.003580851865812288,0.0,0.0,0.15793441387108934,0.3105917828872974,0.31078024877497173,0.32717678100263853,0.32811911044101016,0.0,0.0,0.16057293629852998,0.0,0.0,0.0,0.0,0.0,0.00018846588767433095,0.08009800226159065,0.0003769317753486619,0.5111194873727856,0.0003769317753486619,0.12193742932529213,0.0005653976630229929,0.11797964568413118,0.00018846588767433095,0.24519411986430456,0.022804372408594044,0.1468149264983038,0.0,0.0,0.01752732755371278,0.010177157934413872,0.01752732755371278,0.0,0.5358085186581228,0.5358085186581228,0.5358085186581228,0.5358085186581228,0.0
