,ADS Economic Conditions,Global Economic Activity Surprise,DM Economic Activity Surprise,EM Economic Activity Surprise,US Economic Activity Surprise,China Economic Activity Surprise,US Recession Probability in 1 year,Citi US Inflation Surprise Index,Global Economic Policy Uncertainty,US Trade Policy Uncertainty,US Monetary Policy Uncertainty,US Economic Policy Uncertainty,EU Economic Policy Uncertainty,China Economic Policy Uncertainty
min,-26.6504,-36.4,-33.6,-38.0,-43.333,-66.67,10.0,-38.77,48.9,10.56,18.68,57.2,47.69,18.61
max,9.0799,26.3,33.8,41.82,46.875,100.0,100.0,72.93,366.99,919.12,337.92,305.96,433.28,970.83
mean,-0.32629434602336976,1.4685966633954857,1.730947837150127,1.8109284028324155,0.07950299980646426,5.747585718333807,27.39067990832697,-5.054860335195531,134.8334831460674,116.09843575418996,87.76798882681562,122.03284916201116,159.93810055865922,230.90307262569834
median,-0.16149999999999998,0.7,1.3,0.925,0.0,0.0,20.0,-7.37,117.61,50.29,71.55,110.92,152.61,136.85
std,2.062645874452273,9.179092972671338,10.512352002814001,11.768647010292648,14.420788342702686,27.530657253035287,23.231691622399964,18.313008526744284,68.21058006641557,179.37464731613156,57.13310271873511,45.05581291899777,71.44748198337791,224.63924176944934
skewness,-7.567490427780572,-0.17783064884439312,-0.015127376399501331,0.08964677900828355,0.029411017225505667,0.7081927590352551,2.453629417903454,0.7588309857997535,1.3591533038885741,2.943860447514424,1.714814716065872,1.3610489593259565,0.7631830739143443,1.7021707527862886
kurtosis,90.49227832488137,0.5178234205323164,-0.26555459546256666,0.05517812242706999,-0.29862259885852804,1.7731291054078793,4.950838725093444,0.9254158716582457,1.6600583366751214,8.463730641710793,3.7438221675000385,2.3953799373894356,0.7005929755514995,2.036612928839199
pct_missing,0.0,0.4238597813795703,0.4074632491519035,0.04183942706370147,0.026196758386732,0.3349038823972861,0.7532981530343008,0.9662646061062947,0.9664530719939691,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9662646061062947,0.9662646061062947
